SKU_ID,Segment,Region,Unit_Cost_EUR,Average_Daily_Demand,Demand_Std_Dev,Expected_Lead_Time_Days,Actual_Lead_Time_Days,On_Hand_Inventory
PH-AIRP-1000,Personal Health,APAC,267.19,905.19,153.64,21,28,2466
PH-LUME-1001,Personal Health,LATAM,245.21,761.23,145.86,15,17,2769
PH-VENT-1002,Connected Care,North America,3032.71,24.82,6.31,45,53,394
PH-LUME-1003,Personal Health,APAC,123.96,151.33,37.04,21,21,3899
PH-US-E-1004,Diagnosis & Treatment,EMEA,570166.03,1.05,0.28,60,58,15
PH-MON--1005,Connected Care,APAC,3670.58,7.31,1.17,60,68,313
PH-SHAV-1006,Personal Health,EMEA,121.68,300.46,60.41,15,18,12805
PH-MON--1007,Connected Care,APAC,43722.55,19.83,6.64,45,45,319
PH-AIRP-1008,Personal Health,North America,168.32,672.92,163.0,10,9,2878
PH-MON--1009,Connected Care,North America,14799.25,14.48,1.96,60,69,114
PH-SONI-1010,Personal Health,LATAM,220.78,318.59,16.28,21,21,8736
PH-LUME-1011,Personal Health,North America,220.53,181.45,22.08,10,19,8278
PH-MON--1012,Connected Care,APAC,5669.45,9.15,1.66,60,68,263
PH-SONI-1013,Personal Health,APAC,119.56,1168.88,256.9,10,17,2502
PH-AED--1014,Connected Care,LATAM,4698.21,18.35,2.34,30,45,112
PH-SONI-1015,Personal Health,APAC,101.73,659.43,152.67,21,25,8892
PH-SONI-1016,Personal Health,EMEA,79.49,184.68,19.94,15,24,12817
PH-CT-S-1017,Diagnosis & Treatment,LATAM,441040.14,1.32,0.46,60,84,12
PH-AED--1018,Connected Care,APAC,40635.83,9.31,1.19,30,46,282
PH-SHAV-1019,Personal Health,LATAM,152.79,559.15,52.8,21,28,14971
PH-LUME-1020,Personal Health,LATAM,104.03,670.67,127.83,10,8,8585
PH-AED--1021,Connected Care,EMEA,23884.44,8.92,1.53,30,43,51
PH-AED--1022,Connected Care,EMEA,14703.15,22.89,3.66,45,62,221
PH-HC-E-1023,Connected Care,North America,27893.26,3.86,0.74,30,32,329
PH-VENT-1024,Connected Care,APAC,19750.63,20.78,6.22,30,32,398
PH-AIRP-1025,Personal Health,North America,24.31,663.3,63.21,21,22,10680
PH-SHAV-1026,Personal Health,EMEA,237.8,843.26,166.16,15,19,7534
PH-AED--1027,Connected Care,EMEA,12599.1,6.02,2.08,30,28,353
PH-MRI--1028,Diagnosis & Treatment,APAC,583102.72,0.36,0.08,90,100,17
